0,uid,@shot1,@shot2,@shot3,@shot4,@shot5,@shot6,@shot7,@shot8,@age,@gender,Name,Occupation,Frequency and Time,Age,Exercise,Food
1,lidu.azn.boii,@Transcript: Improving is the game. Braun Charmers the name.,@Transcript: Let me tell you what model days.,@,@,@Shot missed,@,"@Transcript: Start the day with a couple push-ups.Transcript:  Then we're on Instagram.Transcript:  Then I want to train my friends.Transcript:  And once that's done, we get together and love one another cuz we do.","@Transcript: if the question now stands,Transcript:  why should I be a personal trainer?Transcript:  I think it's because I really understand how hot it is to get your life on track and to get an order. I believe her all help each other do that including me.",@(25-32),@Male,,"Charmers,Instagram.Transcript",,,,
2,meg_scheff,"@Transcript: Hi, my name is Nick. Chef is.",@Video file is damaged or format is not supported.,@Shot missed,@,@Transcript: 123 book.,@,@Transcript: As a dance off. My day will always include dad's whether that be an online class at the moment or dancing to my favorite music. I love doing hit workouts with my housemates and hanging out with them throughout the day.,"@Transcript: As a dancer, I've experienced firsthand, the effects of negative body image can have on yourself estate. It's been through health and fitness that I've been able to find greater balance and happiness in my life, and I look forward to helping clients find the same.","@Not enough faces detected, unknown age",@Female,Nick,book,,,,
3,geddes94,"@Transcript: Hi, my name is Lauren Geddes.",@Transcript: Let me tell you about my typical day.,@Shot missed,@,@,@,"@Transcript: Cat in before work and a nice big breakfast after work. It's on the food in training and maybe it's need to be with the girls off to it. At least. That's what I usually do this, G. So now it's just extra running session to tape up. My cardio, Fitness ready to jump into 46.","@Transcript: I want to be a Pokemon trainer. If I want to help other people realize they Fitness dreams just like I got to, I know how hard it is to work way up from the bottom. And now I'm going to get the experience and knowledge behind me to be able to help other people through the same.",@(38-43),@Male,"Lauren Geddes,Pokemon",,,46,,
4,tim.hoptman,"@Transcript: Hi, my name is Tim Horton.",@Transcript: This is my deal day.,@,@Shot missed,@,@,"@Transcript: Exercise has to be resistance training of course. And as a chef, I'm able to cook everything. I need at work and get all my supplements from poke nutrition. I train 6 days a week without fail, truth as a carrier. And when I can, I love getting that and playing soccer with Fred.",@Transcript: I'd like to be a personal trainer because at the end of every single day I have I want to spend my life.Transcript:  Really influencing someone else's life and making their life. I'm more positive and happy experience.,@(25-32),@Male,"Tim Horton,Fred",trainer,6 days a week,,,poke nutrition
5,kaydnhume,@Transcript: Jaguars.,"@Transcript: And now, let me tell you a little bit about my I do today.",@,@,@,@Transcript: It's all as exercise.,"@Transcript: A fantastic movement uniform on my standing where I love starting my day off with healthy fats. Exhaust me to see people trying with proper technique. Even with covid-19 NYC next and see each other, and be a part of each other's life.",@Transcript: I want to be a payday because I'm already the dried impact getting to Fitness can have them and I want to help people. Every single guy has a tremendous feedback on you so I can want to make everybody feel good.,@(25-32),@Male,,Jaguars,,,,
6,jackson,"@Transcript: Hi, my name is Jackson Miller.",@Transcript: Let me tell you about my ideal day.,@,@,@,@,"@Transcript: While I love my cardio, my favorite exercise is a wolf's it. I follow a plant-based diet and my favorite brekke is an acai Bowl. I love to help people mentally and physically through that your enemies. My down time is spent jeans, my bands hanging out with my mates and extending my love.",@Transcript: Decided to come accustomed. Try not to pull meaningful relationships lost my passion for Fitness within all this and Inspire and motivate individuals to achieve their own Fitness goes. I want to Advocate the exercise has the key to a society's Health prevention better than any two.,@(8-12),@Male,Jackson Miller,society,,,,"plant,brekke"
7,paulrocksmuch,"@Transcript: Hi, my name is Paul Bryan.",@Transcript: Let me tell you about my ideal day.,@,@,@Transcript: Text right?,@,"@Transcript: I really like pushing myself with push up since I'm working on one arm push-up. I like to keep my diet, nice and clean and natural training. I love being able to help people reach their goals and his social life. I love hanging out with my family and a few of my close friends.","@Transcript: I love to become a personal trainer because I recently went through quite a dacian transformation. My arm where I lost 36, kill, Isaac, completely changed my life. I'd love to be able to help people do the exact same thing.",@(25-32),@Male,"Paul Bryan,Isaac",,,,,
8,mitchellcook2001,"@Transcript: Hey Craig, I hope you doing well. My name is Mitchell. Cook.","@Transcript: My dildo, it involves Sports guitar and some down time with loved ones.",@,@,@Transcript: That's right now from your legs.,@,@Transcript: The gym also the lives and push-ups in some battle ropes. As far as. You can't go wrong with some eggs on toast and a smoothie love training with all this. And the social life. I really enjoyed those plans. I'm going to run out by the revolve around the cop file.,"@Transcript: Oh, I looked all through a lot of passing tries. I'll come tonight. You have the ability with that knowledge, sound. A lot of people's lives for the better and I just really want to be a thought of something similar to improve Lifestyles physically and emotionally.",@(25-32),@Male,"Craig,Mitchell. Cook",,,,Sports guitar,eggs
9,noviejjoe,@Transcript: Novi jail.,@Transcript: Let me tell you about my ideal day.,@,@,@,@Transcript: But did you?,"@Transcript: Kettlebell exercises. Healthy homemade granola with yogurt motivating, friends, during training and enjoying some coffee and relaxing With Friends.",@Transcript: I want to be a personal trainer because I've always been passionate in both health and fitness and teaching and I would love to finally embark on this pursuit to quote others in their health and fitness journey.,@(25-32),@Male,,personal trainer,,,Kettlebell exercises,coffee
10,elyse.judson,@Transcript: Hi everyone. My name is Elise Johnson.,@Transcript: Follow me on my typical day.,@Shot missed,@Shot missed,@,@Shot missed,"@Transcript: On my typical day. I spend anywhere between 3 to 6 hours practicing cartography. So either the stage of the class, then I look forward to a nutrient pet. So she caramel popcorn protein, shake down time for her Lottery has been to having fun with my friends.","@Transcript: I'd love to be a personal trainer. So I can try and young children pregnant women and Don says, it's so important to have a trainer that understands the way we need to move differently through the different phases of Our Lives. Help me get the APT.",@(25-32),@Female,"Elise Johnson,Shot,Don","trainer,APT.",6 hours,,,"nutrient pet,caramel popcorn protein"
11,nxturner,@Transcript: Are you nice to meet you? My name's Nick channel?,"@Transcript: I'm going to take you through what my ID, even though I do a day looks like",@,@,@,"@Transcript: Yeah. Yeah, I'm good yourself.","@Transcript: Favorite exercises push-ups because you can do them. Anyway, my go to breakfast, is Greek yogurt. Musically and fruit. I like the train at the beach when I can only I'd like to share with friends but self-isolation means chatting with them once cop goes in hanging with the dogs.","@Transcript: Run has different colors and whatever they are. I really enjoy being a part of the Jenny thing ever to give someone a high-five when they achieve something that they set out to accomplish is a really great feeling, and that's why I'm studying with a OP 80.",@(25-32),@Male,"Nick,Greek,Jenny",,,,,"Greek yogurt,fruit"
12,jessica.vanbeijnum,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,"@Transcript: I love to kick start my day with some yoga, then hiring for simony. Yummy scrambled eggs. I love training with others and obscurity, his friends family, and nature time.",@Shot missed,"@Not enough faces detected, unknown age","@Not enough faces detected, unknown gender","@Shot,@Shot,@Shot,@Shot,@Shot",,,,"kick,yoga",Yummy scrambled eggs
13,shane,"@Transcript: Hi, I'm Shane. I'm a 40 year old father of two.",@Transcript: Let me tell you about my ideal day in quarantine.,@,@,@Transcript: 100.,@,"@Transcript: Jim Schott, I still do simple exercises at home. My family love to eat vegetables, chicken and fish. I still train during the quarantine and still at 5 a.m. And the best thing about the quarantine is taking my kids for Black Rose walks in soccer.",@Shot missed,@(0-2),@Male,Jim Schott,,,I'm a 40 year old father of two,soccer,"vegetables,chicken,fish"
14,david.vanderwaal,@Transcript: Why do I not my dive into? Well?,@Transcript: Let me tell you about a typical diet.,@,@,@Shot missed,@,"@Transcript: My favorite exercises outdoor carrier. I enjoy a protein shake with natural sugar. For brekkie. My indoor bike trainer of his flexibility around my busy schedule, and as often as I can find a tie in Social ketchup, sweet travel Adventures.","@Transcript: After working in sales and marketing, some mini you. So I can start at 6, cuz I'm passionate about helping Fitness and I love to help people at the moment. I'm starting to become a clinical important. Part of my development indicating is gone.",@(25-32),@Male,,,,,indoor bike trainer,"protein shake,brekkie"
15,kjn1,@Transcript: I am Kelly Mila a group fitness instructor travel agent and mom of three.,@Transcript: Let me tell you how my I do today?,@,@,"@Transcript: Good, good.",@,"@Transcript: My I do die is waking up before the sun comes up and going for a run. My daughter is definitely hot out of my diet. I packed my meals with color and nutrition. I love to strength, trying and finish the day, having fun with my beautiful family.","@Transcript: Studying to become a personal trainer has been a lost long goal. Now is the perfect time for me to turn my passion into a Korea. My manttra if you dream big, Anything is Possible.",@(25-32),@Female,Kelly Mila,group fitness instructor,,I am,,
16,kf18,@Transcript: Did I miss Christian Farah?,@Transcript: Let me take you through my audio.,@,@,@,@,"@Transcript: That would die with a compound exercise, push-ups our personal fiber. I really enjoy helping my pot meant to say 15 was spent with my partner and effort about you watching movies, reading books and catching up with friends and family online.",@Transcript: I'm starting to become a personal trainer so that I can help people but they divisions of themselves. But physically and mentally. I have a background in cooking and nutrition and I believe I'm in a eunuch spot to help. Play pool table sickness. It's a big house.,@(8-12),@Male,Christian Farah,"personal trainer,Play pool table sickness",,,,eunuch
17,weesy1991,"@Transcript: Hi, my name is Belinda Brown.",@Transcript: Let me tell you about my idayallday.,@,@,@,@,"@Transcript: Definitely blessed cuz I love starting my day with fresh veggies and eggs to protein. I'm kind of doing online sessions with my gym, which I'm loving and socializing with them online as well.","@Transcript: Fitness is not one of my passions and thought I'd say it as a tool or something, going to have to do it, help me, but physically and mentally and I just would love to help other people for that passion. The way they do, I have.",@(38-43),@Female,Belinda Brown,,,,gym,"fresh veggies,eggs"
18,joshryl02,"@Transcript: Hey guys, I'm Joshua Laskey and I love to be a personal trainer.",@Transcript: Let me tell you about my ideal day.,@,@,@,@,@Transcript: Electron box and do push-ups to eat vegetables and made every not. I enjoy helping others workout.Transcript:  This is my girlfriend and a child Sally. I love spending my free time with them.,@Transcript: I'd like to become a personal trainer because I'd like to improve my overall health and everyone else is Arbor will help. I used to have a lot of bad habits. But I mean Breaking Free of them's you to Fitness and I'd really like to encourage all this.,@(25-32),@Male,"Joshua Laskey,Sally","trainer,personal trainer",,,,vegetables
19,michelle.johnson233,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,"@Transcript: Having a toddler does keep me on my tardies and I saw an acclaimed, I gives me the energy. I need to Kpop nipple training and social Pet Shops are a little different at the moment, but it's still important to keep them going until things return to normal.",@Shot missed,"@Not enough faces detected, unknown age","@Not enough faces detected, unknown gender",@Shot,"Kpop,training,Pet Shops",,,,
20,hayden.t.1995,"@Transcript: Hey, I'm Hayden, and I'm starting to cause from isolation.","@Transcript: my ideal day is, getting in some work and then","@Transcript: Going for a run Outdoors, cuz it's the only time I get in the sunshine, even though absolutely freezing right now.",@,@Shot missed,"@Transcript: Sorry, I can't put much for the socialisation at the moment. Sorry.",@Shot missed,"@Transcript: So you're normally, I work as a loyal by giving a lockdown. I thought this is good time to do the set and make a career switch to PT cuz I left the gym and I love working out and one is an armoire.",@(25-32),@Male,Hayden,PT,,,gym,
21,beautyandthebeast9696,@Shot missed,@Shot missed,@,@,@,@Shot missed,"@Transcript: My dude, I would definitely include some form of football training or a game. The food would be eggs. Benedict with smoked salmon, and a giant and physical activity with him and some weight training, but we can restrict reminiscing of the gym is frequent.",@Transcript: The reason why I want to be a personal trainer that I can share my love with a z as an impassioned to fitness health and well-being. I was hoping to be able to help out. Those are the best as I can be no Pursuit sport and Evans.,@(48-53),@Male,"@Shot,Benedict,Evans","personal trainer,Pursuit sport",,,"weight training,gym,Pursuit sport","eggs,salmon"
22,sabrinaclare1980,@Transcript: My name is Sabrina. I have type 1 diabetes and I'm so excited.,@Shot missed,@Shot missed,@,@Shot missed,@Shot missed,"@Transcript: Did Lisa. My favorite exercise nutrition. Super important to me? So a declining balance. Variety of nutritious foods are trained daily combining resistance and Katya and I love to keep acting. So actually going for hikes and horse riding with friends, hanging out, eating good food.",@Transcript: Health and fitness is important to a soul especially when you go to chronic illness like type 1 diabetes. It's my passion to inspire and motivate and trying Fellers hop on diabetics as someone who knows exactly what they going through.,@(25-32),@Male,"Sabrina,@Shot,Shot,Lisa,Katya",,,,horse riding,nutritious foods
23,harleyxinpengcen,"@Transcript: Hello, why? My name is Harley All Star personal training?",@Transcript: my idea that I wasTranscript:  got a possible cause dry pasta.,@Transcript: Go to Bell.,"@Transcript: Make me a big breakfast. Have a cados country, Bragg.Transcript:  Egg.",@Shot missed,@Shot missed,@Transcript: My idea days. I want to play basketball.Transcript:  Go out for a walk with my dog. Go to meet some family. People talks people help people.,@Transcript: I think support changing my life. I was when I was loved Sports. Exercise is my love life a lot.,@(0-2),@Female,Harley,,,,Go to,dry pasta
24,sofia.aeowyn,"@Transcript: Hey guys, I'm Sophia hooyah. I'm 16 years old and I'm in grade 11.",@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,"@Transcript: I love moving my body with plyometric movements, like jump squats for brekkie. I always have almond butter and banana on Howell Mill tires, and I love to turn my friends on the Oracle at Sunset with conditioning. So I guess if we walk to the coffee shop and have a nice catch up, talk to it.",@Transcript: I stopped prioritizing my house and I was so unhappy when I started moving my body again and finding a balance last out. I felt so much by that and now I want to educate myself on what really interests me. So I can motivate others to make change their lives and make this my Korea cuz that's what makes me.,@(4-6),@Female,"Sophia hooyah,Shot,Korea",,,I'm 16 years old and I'm in grade 11,,"brekkie,almond butter,banana"
25,joelerosales,@Transcript: Joe Rosales.,@Transcript: Let me tell you about my typical type of day.,@,@,"@Transcript: Good form, good form.",@,"@Transcript: Upper body training, followed by some fruits, followed by a, definitely, some downtown with my daughter and then you followed by training with not too frequently have kids.",@Transcript: I want to do something that some think about us and it is life-sustaining something that I can give back something that my daughter can partake in. And something that I can do even when I'm an old man.,@(25-32),@Male,Joe Rosales,,,,Upper body training,
26,belinda.garrick,@Shot missed,@Transcript: My ideal day in both training working and spending time with my family.,@Shot missed,@,@,@,"@Transcript: Boxing is my favorite exercise and I'll do as many classes as I can. The parent. Healthy, nutritious, food, and meal prepping. Helps me stay healthy training with my husband, and Friends. Keep me motivated. And on track, after a big day awake. It's good to have down time and relax, and my kids, and my dogs.","@Transcript: I want to become a PT because I really love helping people, now that I've reached my Orion health and fitness goals. I feel like I can use that experience to help motivate other people to reach that, and I really want to be that person to help them succeed.",@(25-32),@Male,Shot,"PT,Orion",,,Boxing,"nutritious,meal"
27,gaspar34,"@Transcript: Hey, my name is Gus Thomasson.","@Transcript: Hi, so let me tell you about my perfect day.",@,"@Transcript: Baby, girl, sweet potato in the oven and chicken as well. That's going to be today.",@,"@Transcript: So for the socializing, if you do, the thing is going to be quite a different thing.",@Transcript: So Sammy perfect day would be a process in the morning then training than a nice meal was beautiful love veggies and chicken and stuff like that and then maybe cheating and see some people than the afternoon.,@Transcript: I would like to become personal trainer because I needed a change in my life 2020. Have been pretty bad for me at this time. So that's what I want to going to change in my life and I want to teach boxing for people.,@(25-32),@Male,Gus Thomasson,personal trainer,,2020,boxing,"Baby,sweet potato in the oven"
28,thagen1525,"@Transcript: Hi, my name is Timothy Hagen. And this is my video.",@Transcript: Let me tell you about my ideal day.,@,@,@,@Shot missed,"@Transcript: Keeping variety between in the gym lights and outdoor bodyweight exercises. Muesli with Greek yogurt, berries, and a side of eggs, training, a friend.Transcript:  And spending time with friends and family.","@Transcript: Health and fitness has changed my life. Everything for my confidence, to my parents, my happiness, my diet. So I really would love to bring that to all the people. I'd love to guide them to achieve that and I feel that would be really feeling.",@(25-32),@Male,Timothy Hagen,,,,"gym lights,outdoor bodyweight exercises","yogurt,berries,eggs"
29,melaniekit,"@Transcript: Hi, my name is Melanie kitanovski, and I'm 22.",@Transcript: Let me show you my idol.,@,@,@Transcript: How much is a chihuahua?,@,"@Transcript: My favorite exercises, the bear for you.Transcript:  I love to have a salad at least once a day.Transcript:  My mom and I are the dynamic duo and trying to get every day.Transcript:  And I know my love socializing with my friends, but for now, my brothers will do.",@Transcript: I have worked in my photo. I sent you. I have decided to change it up and become a personal trainer. I just reward and helping other like-minded individuals accomplish. They go away.,@(25-32),@Male,Melanie kitanovski,personal trainer,"once a day.Transcript,every day.Transcript",and I'm 22,,"chihuahua,salad"
30,ma.broaderick91,"@Transcript: Hi, my name is Adam Broderick, and I want to be a personal trainer.","@Transcript: My ideal day consist of healthy, eating and an intense workout.",@Shot missed,@Shot missed,@Shot missed,@Shot missed,"@Transcript: My favorite exercises to dumbbell chest, press. I like to start the day with a big bowl of Oats. My training sessions are broadcasted live. So I'm able to interact and viewers and guide them through exercises. In my free time. You'll find me gaming on a PS4 with my friends online.","@Transcript: I'm praying for close to ten years primarily with the goals of keeping fit and healthy. It's only fitting that I pursue a career in something that I'm passionate about is truly satisfying, being able to encourage and motivate others to become the best versions of themselves.",@(25-32),@Male,Adam Broderick,,,,dumbbell chest,
31,thagen1525,"@Transcript: Hi, my name is Timothy Hagen. And this is my video.",@Transcript: Let me tell you about my ideal day.,@,@,@,@Shot missed,"@Transcript: Keeping variety between in the gym lights and outdoor bodyweight exercises. Muesli with Greek yogurt, berries, and a side of eggs, training, a friend.Transcript:  And spending time with friends and family.","@Transcript: Health and fitness has changed my life. Everything for my confidence, to my parents, my happiness, my diet. So I really would love to bring that to all the people. I'd love to guide them to achieve that and I feel that would be really feeling.",@(25-32),@Male,Timothy Hagen,,,,"gym lights,outdoor bodyweight exercises","yogurt,berries,eggs"
32,nicoleannrasmussen,"@Transcript: Hi, my name is Nicole. Rasmussen.",@Transcript: That may told you about my ideal day.,@,@,@,@Shot missed,"@Transcript: Dallas can in our outdoor gym, yogurt, berries and measly to stop the day. I love trying my husband, and I outdoor gym is the best, but the moment we need to be mindful of social distancing.",@Transcript: So that I can educate women on the importance and benefits of strength training at Oprah show is in Safeway's how to do with a bowel movements. I think it will give women an inner confidence. And also I helped him to be healthy and stronger in the everyday life.,@(25-32),@Male,"Nicole,Rasmussen,Dallas",Safeway,,,"outdoor gym,outdoor gym","yogurt,berries"
33,franciscoclara8,"@Transcript: Hi, my name is Francisco Clara.","@Transcript: Now, let me tell you about my deal day.",@,"@Transcript: I like having a Frisch's, Grimm breakfast that's going to keep me guns for the whole day.",@,@Transcript: How you doing? Been a long time?,@Transcript: My favorite exercise is doing lunges with free white. I live a healthy and clean diet and also supporting people to be in connection with the body through exercise and spending quality time with family and friends whenever possible.,@Transcript: The reason why I would like to become a personal trainers because I love Fitness. And I also love inspired people to become more aware of the bodies into strengthening the bodies inside out the Mason.,@(25-32),@Male,Francisco Clara,,,,,"Frisch's,Fitness"
34,haylulu,"@Transcript: Hi, I'm Haley Adams.","@Transcript: Let me walk you through what my ideal day. Looks. Like, whilst. We are at home during isolation.",@Transcript: Good.,@,@Shot missed,@,"@Transcript: My favorites on my fitness is CrossFit. I love anything to do with the bow. I'm passionate about nutrition and I'm currently living a plant-based lifestyle when I'm not studying, or working out in my Olson, backyard at the house, with the members of my family and explore the many parks in Melvin.",@Transcript: I want to become a personal trainer because I love exercise and I love helping people. I thought the pistol training would be an awesome Curry up because I would get to see him by Passion files and fitness with others as well as a system to bring out the best of themselves and have fun while exercising.,@(8-12),@Female,"Haley Adams,Curry","CrossFit,Olson,personal trainer",,,"CrossFit,pistol training",
35,lidz,"@Transcript: Hey there, my name is Lydia villani.",@Transcript: Come with me and let me show you some of my favorite things to do in a day.,@,@,"@Transcript: 4 3, 2, 1.",@,@Transcript: When it comes to work at. So enjoy strengthening with bodyweight exercises. I love creating and eating healthy and nutritional food. I enjoy circuits and training with family and friends. When I'm not training. I'm relaxing and spending time with my husband.,"@Transcript: Becoming a personal trainer gives me the opportunity to share my passion for fitness and a healthy balanced lifestyle with as many people as I can, and hopefully become a role model for the younger generation.",@(25-32),@Female,Lydia villani,,,,bodyweight,healthy and nutritional food
36,vanessa_panell,@Shot missed,@Transcript: Let me tell you about my ideal day.,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@(15-20),@Female,Shot,,,,,
37,missjordan,@Video file is damaged or format is not supported.,@Shot missed,@Video file is damaged or format is not supported.,@Video file is damaged or format is not supported.,@Shot missed,@Video file is damaged or format is not supported.,@Transcript: First thing I do is start my day with a 30-minute yoga. Wake up session. Then breakfast is full of nutrition and is always enjoyed with a. Training is 6 days a week and I love awaited hit session. I like to spend my off today and start a new child in the Danny Knows by the lake.,@Video file is damaged or format is not supported.,@(25-32),@Female,,@Video,"30-minute,6 days a week",,"minute,Wake up session",
38,elliemw17,"@Transcript: Hi, my name is Marco benigni.","@Transcript: Now, let me tell you about my perfect day.",@Shot missed,@,@,@,"@Transcript: I start my day, exercising doing glasses in front of my office, then having a breakfast with red fruit training are people with friends and then of a fish-shaped finishing give chatting with them.",@Transcript: I want to become a fashion at 3 because I'm really Keen to help people achieve their goals.,@(25-32),@Male,Marco benigni,,,,,
39,joshkostrubic,@Transcript: Call Josh Castro.,@Transcript: Let me tell you about my typical day.,@,@,@,@,"@Transcript: My favorite exercise would have to be a deep. Well, I always like to start the morning with some eggs and a bit of fruit. And yogurt at the moment. I'm focusing on strength training in. The gym is a bit difficult. Sporting event block away is a family. Stay socially connected.",@Shot missed,@(25-32),@Male,Josh Castro,,,,"strength training,gym","eggs,yogurt"
40,anne.dossantos,@,@Transcript: And I'm going to show you my idea of it.,@,@,@,@,"@Transcript: I like to start off my day with the morning, sir. Then I always have porridge with coconut and banana for breakfast. I've been enjoying helping my cousin, her teeth, her healthy lifestyle. And when I'm not training, I like to hang out with my friends.","@Transcript: As a professional Surfer, I chose to study personal training so that I can get a higher knowledge about my body and to share that knowledge with my friends and fellow athletes on the pro circuit.",@(25-32),@Male,,,,,,"porridge with,coconut,banana"
41,beatuyandthebeast9696,@Shot missed,@Transcript: And let me tell you a little bit about my ideal day.,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@Shot missed,@(25-32),@Male,Shot,,,,,
42,chantellej_12,"@Transcript: Hi, my name is Shantel drawings and I'm from camera.",@Transcript: I'm here to tell you about my ideal day.,@,@,@,@,"@Transcript: My favorite type of exercises, Ultimate Frisbee to start my day. I talked some fresh fruit, coconut milk and protein powder in a blender to run out the door when I'm training. I like to trade with other people. And when I first realize, it's just down time on the couch with my housemate.","@Transcript: I'm becoming a personal trainer for two reasons, fastly to help noise in an unfamiliar with exercise, to become Constable intern, happier and healthier and secondly to help athletes improve performance and reduce the risk of injury.",@(25-32),@Female,Shantel,,,,,milk
